Categories                      ,Product Code,JAN Code     ,Manufacturers               ,Product Name                                                                                                                                ,Product status     ,In-stock Date,Release Date  ,Pre-order Deadline,Number of Pieces                      ,Order Unit,Retail Price,Wholesale Price,URL
Capsule                         ,59118       ,4904790059117,Takaratomy Arts             ,"""Thomas and Friends"" Odekake Watch"                                                                                                      ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,226            ,https://b2b.mile-stone.jp/en/products/000059118
Capsule                         ,60939       ,4904790060939,Takaratomy Arts             ,"""Winnie the Pooh"" Minna de Te wo Tsunago"                                                                                                ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,226            ,https://b2b.mile-stone.jp/en/products/000060939
Capsule                         ,56789       ,4904790056789,Takaratomy Arts             ,"BuchiMas! ""Demon Slayer: Kimetsu no Yaiba"" Relief Figure Magnet 2"                                                                       ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,226            ,https://b2b.mile-stone.jp/en/products/000056789
Capsule                         ,83128       ,4537807083128,Kaiyodo                     ,CapsuleQ Museum Kunio Sato's Animals Toilet Time                                                                                            ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,248            ,https://b2b.mile-stone.jp/en/products/000083128
Capsule                         ,100081841   ,4537807081841,Kaiyodo                     ,CapsuleQ Museum Nihon no Shihou Butsuzo Rittai Zuroku -Iyou no Shitennou Ver.-                                                              ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,248            ,https://b2b.mile-stone.jp/en/products/100081841
Capsule                         ,60441       ,4904790060441,Takaratomy Arts             ,"""Chainsaw Man"" Pyon Colle Figure"                                                                                                        ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,226            ,https://b2b.mile-stone.jp/en/products/000060441
Capsule                         ,59673       ,4904790059674,Takaratomy Arts             ,"""Chip 'n Dale Rescue Rangers"" Fuwafuwa Figure Collection"                                                                                ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,226            ,https://b2b.mile-stone.jp/en/products/000059673
Capsule                         ,63251       ,4904790063251,Takaratomy Arts             ,Disney Princess Lip Case 2                                                                                                                  ,Pre-order          ,             ,Within 2022/11,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,226            ,https://b2b.mile-stone.jp/en/products/000063251
Capsule                         ,60458       ,4904790060458,Takaratomy Arts             ,"""Haikyu!!"" Nitotan Figure Mascot Spiker Ver."                                                                                            ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,226            ,https://b2b.mile-stone.jp/en/products/000060458
Capsule                         ,60399       ,4904790060397,Takaratomy Arts             ,My Melody & Kuromi DOLLY MIX Figure                                                                                                         ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,226            ,https://b2b.mile-stone.jp/en/products/000060399
Capsule                         ,714248      ,4589642714248,Union Creative International,Toshio Asakuma no Animal Camp -Ani Camp- Part. 4 Capsule                                                                                    ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,237            ,https://b2b.mile-stone.jp/en/products/000714248
Capsule                         ,831353      ,4580799831352,HMA                         ,Ushihito no Pocha Pocha Ocat-sama Flocky Figure                                                                                             ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,150 piecescarton = 5 bags × 30 pieces ,30        ,364         ,237            ,https://b2b.mile-stone.jp/en/products/000831353
