"Maker ID","Maker name"
600       ,"Hung Hing Toys Co. Ltd."
568       ,i-rights
382       ,Icarus
557       ,Ichijinsa
464       ,"Iconic Studio"
93        ,"IE Institute"
579       ,"inemuri hitsuji"
460       ,"Infinity Studio"
398       ,Ingram
393       ,Insight
378       ,"Intelligent Systems"
94        ,"Interactive Brains"
251       ,Irisawa
606       ,"JAKKS Pacific"
282       ,Jesnet
501       ,JOYTOY
95        ,"Jun Planning"
401       ,Jungle
96        ,Jupiter
97        ,Kabaya
98        ,Kadokawa
302       ,Kaijuuken
99        ,Kaitendo
100       ,Kaiyodo
391       ,"Kalmia Project"
562       ,"KAMIO JAPAN"
524       ,Kayodo
602       ,Keibunsha
101       ,Kemco
763       ,Kenelephant
439       ,Kensin
102       ,"Keys Factory"
543       ,khara
103       ,Kid
318       ,KidsLogic
362       ,"King Arts"
385       ,"KingKong Studio"
618       ,knead
402       ,Kneed
563       ,KODANSHA
104       ,Koei
300       ,"Koei Tecmo"
105       ,Konami
626       ,KONGZOO
578       ,Kosaido
106       ,Kotobukiya
534       ,Koudansha
107       ,Kurushima
279       ,"Kurushima Seisakusho"
587       ,"Kyoto Animation"
272       ,Lechery
327       ,"Legend Studio"
108       ,"Level 5"
109       ,"Liberty Planet"
321       ,License
389       ,Licorne
110       ,Lilics
111       ,"Lilith F"
112       ,"Liquid Stone"
397       ,Lose
442       ,Lotteria
754       ,LUCCA
425       ,"Luminous Box"
409       ,M.I.C.
407       ,"M3 Studio"
598       ,"MAG Garden"
421       ,"Magic Mold"
434       ,"Magic Mould"
113       ,Maitan
437       ,Mamegyorai
375       ,"Manga Shop"
475       ,MAPPA
114       ,Marmit
292       ,Marubiya
250       ,Marusan
115       ,"Master Replica"
765       ,"Matsumoto Shoji"
319       ,"Max "
116       ,"Max Factory"
320       ,"Max Limited"
346       ,"Mecha Workshop"
117       ,"Media Factory"
118       ,"Media Works"
289       ,Mediation
119       ,"Medicom Toy"
120       ,Medicos
121       ,"Medicos Entertainment"
447       ,MEDIUM5
122       ,Megacyber
123       ,MegaHouse
314       ,"Meister Japan"
545       ,"MENG Model"
275       ,"Metal Box"
370       ,"Mezco Toys"
124       ,Michaelsoft
561       ,"Mighty Jaxx"
410       ,MiHoYo
126       ,Milestone
281       ,Milkpot
305       ,Mimco
427       ,Mimeyoi
448       ,MIMEYOI
225       ,Mint
491       ,Mirai-Kojo
127       ,Miyabiya
443       ,Miyuki
128       ,"Moby Dick"
344       ,Mondo
380       ,Monolith
758       ,"MONSTER TOYS"
246       ,Moof
129       ,"Moon Toys"
130       ,"Mori Toys"
236       ,"Morimoto Industry"
471       ,MOSHOWTOYS
326       ,"Mouse Unit"
